first_name,last_name,price,above_100
William,Dixon,109.0372796,true
Kristen,Horn,262.5246522,true
Kimberly,Chang,187.0072583,true
Mary,Ball,283.1746476,true
Benjamin,Craig,143.8715817,true
Cathy,Werner,61.50899135,
Brandon,Bell,48.6373091,
Paul,Farley,12.38946479,
Sarah,Mcdaniel,151.5954472,true
Caroline,Anderson,75.62152103,
Carl,Jones,147.0294047,true
Scott,Lee,244.1856527,true
Kaylee,Coleman,17.86427032,
Charles,Parker,215.537283,true
Susan,Hess,38.35997063,
Kiara,Collier,204.1825486,true
Scott,Martinez,165.8514289,true
Christopher,Ortega,30.30144506,
Michael,Russell,243.1724911,true
Dwayne,Johnson,287.4932856,true
Patty,Smith,180.2344257,true
Deanna,Sherman,99.79911842,
Douglas,Francis,161.7688908,true
Vicki,Diaz,18.64987672,
Robin,Phillips,244.9119836,true
Travis,Rice,141.4988254,true
Ashley,Rocha,50.00303731,
Sarah,Jacobson,80.48182457,
Kayla,Shannon,98.91531394,
Sean,Wang,220.6282177,true
Richard,Estrada,49.16869151,
Joseph,Torres,150.1237842,true
Kim,Jones,18.8434377,
Melissa,Tanner,269.1840299,true
Jackson,Cline,64.31251721,
Sonya,Foster,296.2155012,true
Allen,Williams,15.3908317,
Thomas,Rivera,95.22843716,
Jamie,Silva,296.8244075,true
Kathleen,Moore,92.50052419,
Evelyn,Pineda,169.2289293,true
Kyle,Peters,106.7990952,true
Anthony,Cruz,49.10199817,
Eric,Flores,122.9556986,true
Anna,Richardson,254.4952606,true
Gary,Harper,47.59652592,
Linda,Johnson,115.3627815,true
Melissa,Smith,87.97994846,
Kristen,Floyd,135.0230413,true
William,Diaz,192.1491355,true
Benjamin,Smith,134.9052939,true
David,Glenn,216.2910463,true
Dawn,Jones,271.6144999,true
Joel,Smith,14.4949198,
Larry,Grimes,268.6758682,true
Joseph,Arnold,121.7750468,true
Kyle,Long,241.6216391,true
Brittany,Day,261.5460574,true
Bobby,Ward,63.5130358,
Thomas,Lee,254.0755771,true
Jennifer,Hansen,101.4887352,true
Lisa,Murray,176.0919174,true
Meghan,Wade,273.2303409,true
Tammie,Brooks,84.88856949,
Maria,Bell,264.0746652,true
Allison,Livingston,130.3484426,true
Chris,Hays,17.34276379,
Courtney,Mitchell,78.93257699,
Shawn,White,188.0219256,true
Taylor,Gomez,225.0198237,true
Jeremy,Rodriguez,200.7248208,true
April,Garcia,66.24555967,
Zachary,Watts,15.49738786,
Sarah,Montoya,206.8212547,true
Jennifer,Barker,89.18615989,
Sharon,Garza,72.35772704,
Tiffany,Stevens,196.379322,true
Ruben,Armstrong,93.69836738,
Jeffrey,Spencer,271.162282,true
Nicole,Ramsey,247.8596071,true
Anne,Roy,277.9324821,true
Lori,Sanchez,285.6616405,true
Allison,Chavez,126.850211,true
Marcus,Adams,36.47040894,
Mary,Smith,16.31507197,
Joseph,Reed,178.4576742,true
Jason,Armstrong,26.04525746,
Jeff,Armstrong,88.47561284,
Sean,Shields,247.8395255,true
Jessica,Allison,104.742308,true
Christian,Grant,99.11707917,
Edward,Watson,180.3535589,true
Derrick,Cooke,142.090116,true
Arthur,Hall,235.9669749,true
Sean,Patrick,139.4507994,true
Heather,Collins,127.3925734,true
Megan,Gomez,107.8624451,true
William,Hale,114.6709254,true
Olivia,Thompson,8.608441014,
Lori,Torres,18.85827433,
Vickie,Hernandez,214.9321807,true
Kimberly,Brown,40.3199327,
Sherry,Meza,182.8545499,true
Phillip,Hansen,44.11611704,
Jeanette,Knight,28.68694329,
Kayla,Hanson,27.63036397,
James,Johnston,284.4290554,true
John,Porter,53.72799274,
Elizabeth,Reyes,93.68075684,
Kristen,Henry,77.00624357,
Claudia,Anderson,160.3401593,true
Nicholas,Webb,18.71038619,
Allison,Cooper,206.0421068,true
Zachary,Barnes,280.7741315,true
Gregory,Hill,265.9765808,true
Terry,Ayers,16.51163899,
Jessica,Wilson,290.4095461,true
Daniel,Frazier,190.3291917,true
Brian,Welch,218.2505083,true
Carol,Chavez,123.1834427,true
Ethan,Mcdonald,214.3503174,true
Gerald,Martinez,57.54786356,
Eric,King,59.87926423,
Sylvia,Walters,110.9463132,true
Jonathan,Lane,64.46710142,
Matthew,Turner,180.2628702,true
